sex,age_at_current_charge,age_at_first_charge,p_charges,p_incarceration,p_probation,p_juv_fel_count,p_felprop_viol,p_murder,p_felassault,p_misdeassault,p_sex_offense,p_weapon,p_fta_two_year,p_fta_two_year_plus,current_violence,current_violence20,p_pending_charge,p_felony,p_misdemeanor,p_violence,total_convictions,p_arrest,p_property,p_traffic,p_drug,p_dui,p_domestic,p_voyeurism,p_fraud,p_stealing,p_trespass,six_month,one_year,three_year,five_year,charge_types,charge_rate,conviction_rate,incarceration_rate,general_two_year,general_six_month,drug_two_year,property_two_year,misdemeanor_two_year,felony_two_year,violent_two_year,drug_six_month,property_six_month,misdemeanor_six_month,felony_six_month,violent_six_month
1,22,21,5,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2.5,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1,49,27,39,0,0,0,1,0,0,2,0,1,0,0,0,0,21,3,30,8,34,25,19,1,4,0,0,0,0,5,13,0,0,0,1,9,1.6956521739130435,0.8717948717948718,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,37,35,12,1,0,0,3,0,0,0,0,0,0,0,1,0,2,1,4,1,5,4,6,0,1,0,0,0,0,6,0,1,1,1,1,5,4.0,0.4166666666666667,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
1,28,20,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,21,27,0,1,0,0,0,0,0,0,0,0,0,0,0,23,20,2,0,22,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4.5,0.8148148148148148,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,23,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,5,0,2,0,2,0,0,0,0,0,0,0,0,1,2,0.23333333333333334,0.5714285714285714,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,37,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.0,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
1,43,26,15,1,0,0,1,0,0,1,0,0,1,0,1,0,3,6,6,1,12,11,4,0,3,0,0,0,0,3,3,1,1,1,1,7,0.8333333333333334,0.8,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
1,34,19,10,0,2,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,3,7,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0.625,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,29,7,0,1,0,0,0,1,0,0,0,0,0,1,0,5,0,4,0,4,2,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1.4,0.5714285714285714,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,32,6,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,2,3,0,0,1,0,0,0,0,0,0,0,1,1,1,2,2.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0,2,4,0,0,0,0,0,1,1,1,1,2,6.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,18,8,0,1,0,0,0,0,1,0,0,0,0,1,1,6,1,2,0,3,5,1,0,5,0,0,0,0,0,0,0,0,1,1,3,2.6666666666666665,0.375,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,26,16,24,0,2,0,0,0,0,0,0,0,0,0,0,0,16,1,13,0,14,8,0,0,4,1,0,0,0,0,0,0,0,1,1,2,2.1818181818181817,0.5833333333333334,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,22,16,20,0,4,0,0,0,0,2,0,0,0,0,0,0,17,0,9,4,9,8,5,0,2,0,0,0,0,2,3,0,0,1,1,6,2.857142857142857,0.45,0.0,1,0,0,0,1,0,0,0,0,0,0,0
0,31,20,9,1,2,0,0,0,0,1,0,0,0,0,1,0,5,0,6,1,6,7,1,0,0,0,0,0,0,1,0,1,1,1,1,4,0.75,0.6666666666666666,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
1,32,16,20,1,0,3,3,0,1,1,0,0,0,0,1,0,1,6,10,4,16,16,4,0,6,1,0,0,0,4,1,0,0,1,1,9,1.1764705882352942,0.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0
1,21,21,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,23,28,1,2,0,0,0,0,0,3,0,0,0,0,0,12,10,4,3,15,6,2,2,7,0,0,0,0,2,2,1,1,1,1,7,1.12,0.5357142857142857,0.03571428571428571,1,1,0,0,0,1,0,0,0,0,1,0
1,30,28,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.3333333333333333,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,19,4,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,1,1,1,1,2,4.0,0.5,0.25,1,1,0,0,1,0,0,0,0,1,0,0
1,19,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,1,1,1,1,1,3.0,0.3333333333333333,0.0,1,1,1,0,0,1,1,1,0,0,1,0
1,22,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,0,2,0,0,0,0,1,1,1,1,1,1,4,3.0,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,19,14,1,2,0,1,0,0,1,0,2,3,0,1,0,6,2,4,3,6,6,2,0,0,0,1,0,0,2,0,1,1,1,1,7,2.3333333333333335,0.42857142857142855,0.07142857142857142,1,1,0,0,1,0,0,0,0,1,0,0
1,52,22,41,1,2,0,1,0,8,1,0,1,0,0,1,0,33,12,7,12,19,24,2,0,13,1,0,0,0,2,0,1,1,1,1,9,1.3225806451612903,0.4634146341463415,0.024390243902439025,1,1,0,0,1,0,1,0,0,1,0,1
1,19,16,15,1,0,1,1,0,0,0,0,0,0,0,0,0,11,2,5,2,7,3,6,0,0,1,0,0,0,5,4,1,1,1,1,6,3.75,0.4666666666666667,0.06666666666666667,1,0,0,1,0,1,1,0,0,0,0,0
1,32,31,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1.5,0.0,0.0,1,1,0,0,0,1,1,0,0,0,1,1
1,24,19,5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,3,3,2,0,0,0,0,0,0,2,1,0,1,1,1,5,0.8333333333333334,0.6,0.2,1,1,0,0,1,0,1,0,0,1,0,0
1,23,18,13,1,2,0,0,0,0,4,0,0,1,0,1,0,4,1,3,2,4,10,3,0,3,0,0,0,0,1,2,0,1,1,1,6,2.1666666666666665,0.3076923076923077,0.07692307692307693,1,0,1,0,1,0,0,0,0,0,0,0
1,53,26,34,1,5,0,5,0,0,0,0,0,0,0,1,0,18,16,5,6,21,18,23,0,6,0,0,0,0,23,16,1,1,1,1,6,1.2142857142857142,0.6176470588235294,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0,0
1,21,18,6,0,2,0,3,0,0,0,0,0,0,0,1,0,2,1,1,2,2,6,5,0,1,0,0,0,0,5,2,1,1,1,1,6,1.5,0.3333333333333333,0.0,1,0,1,0,0,1,0,0,0,0,0,0
1,38,15,14,1,1,2,2,0,0,0,0,0,0,0,0,0,3,3,6,2,9,11,2,1,4,1,0,0,0,2,0,0,0,1,1,7,0.5833333333333334,0.6428571428571429,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0
0,31,20,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,29,8,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.1428571428571428,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,20,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6666666666666666,0.0,0.0,1,0,1,0,0,1,1,0,0,0,0,0
1,40,21,15,0,2,0,0,0,3,4,0,0,0,0,1,0,9,2,2,5,4,13,1,0,2,0,0,0,0,1,1,0,0,1,1,7,0.75,0.26666666666666666,0.0,1,1,0,0,1,0,1,0,0,1,0,1
1,27,17,4,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,3,7,1,0,1,0,0,0,0,1,1,0,0,1,1,6,0.36363636363636365,0.75,0.25,1,0,0,0,1,0,0,0,0,0,0,0
1,44,18,53,1,2,0,8,0,7,3,0,1,0,0,1,0,28,18,15,20,33,31,14,0,14,0,0,0,0,13,3,1,1,1,1,9,1.962962962962963,0.6226415094339622,0.018867924528301886,1,0,0,0,0,1,1,0,0,0,0,0
1,25,23,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1.0,0.3333333333333333,0.3333333333333333,1,1,0,0,1,0,1,0,0,1,0,0
1,30,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,1,2.0,0.0,0.0,1,1,1,0,0,1,0,1,0,0,1,0
1,36,34,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,21,9,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,1,0,4,4,0,0,0,5,0,0,0,0,0,1,1,1,1,2,9.0,0.4444444444444444,0.0,1,1,0,0,0,1,0,0,0,0,1,0
1,18,18,7,1,0,0,5,0,0,0,0,0,0,0,0,0,4,2,0,5,2,3,7,0,0,0,0,0,0,7,2,1,1,1,1,5,7.0,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
0,22,18,7,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,3,5,1,3,0,3,0,0,0,0,3,0,1,1,1,1,4,1.4,0.7142857142857143,0.0,1,1,0,0,1,0,0,0,0,1,0,0
0,29,18,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,2,0,0,0,0,0,0,2,0,0,1,1,1,4,0.25,0.6666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,17,7,1,2,1,1,0,1,0,0,0,0,0,1,0,3,1,5,1,6,7,1,0,0,0,0,0,1,1,0,1,1,1,1,7,0.7777777777777778,0.8571428571428571,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
1,22,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,0,4,0,0,0,0,0,1,1,1,1,1,3,1.5,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,29,13,1,0,0,0,0,0,0,0,2,0,0,0,0,3,1,6,0,7,6,0,0,2,1,0,0,0,0,0,1,1,1,1,3,0.7222222222222222,0.5384615384615384,0.07692307692307693,1,0,1,0,1,0,0,0,0,0,0,0
1,29,23,9,0,1,0,0,0,2,5,0,0,0,0,1,0,4,0,2,5,2,3,1,0,0,0,0,0,1,0,1,0,0,0,1,7,1.2857142857142858,0.2222222222222222,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,19,10,0,1,0,0,0,1,3,0,0,0,0,1,0,0,1,2,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.625,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,35,5,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2.5,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1,19,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0.75,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,18,10,1,1,0,0,0,1,1,0,1,0,0,1,0,9,3,3,2,6,5,4,0,0,0,0,0,0,4,3,0,0,0,1,7,1.25,0.6,0.1,1,0,0,0,1,0,0,0,0,0,0,0
1,20,17,12,1,0,1,0,0,2,2,0,1,0,0,1,1,1,1,1,4,2,3,3,0,0,0,1,0,0,1,1,1,1,1,1,8,3.0,0.16666666666666666,0.08333333333333333,1,0,0,0,0,0,0,0,0,0,0,0
1,43,29,20,1,3,0,1,0,0,0,0,0,0,0,1,0,10,1,15,2,16,12,2,0,4,3,0,0,0,1,1,0,1,1,1,7,1.3333333333333333,0.8,0.05,1,0,0,0,1,0,1,0,0,0,0,0
1,28,22,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,23,5,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,2,3,4,3,0,1,0,0,0,0,3,0,1,1,1,1,5,1.0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1,30,15,11,1,5,1,0,0,1,1,1,1,0,0,0,0,5,1,5,5,6,14,5,0,0,0,0,0,0,4,3,0,0,1,1,8,0.6875,0.5454545454545454,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0
1,35,20,7,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,3,2,6,7,2,0,3,0,0,0,0,2,0,0,0,0,0,5,0.4375,0.8571428571428571,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,21,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,2,2,1,0,0,0,1,0,0,1,0,1,1,1,1,6,4.0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
1,28,17,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,2,3,2,0,0,0,0,0,0,1,1,0,0,0,1,6,0.4166666666666667,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,24,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,21,6,0,1,0,2,0,0,0,0,0,0,0,0,0,4,3,0,2,3,5,3,0,2,0,0,0,0,3,1,0,0,0,0,6,0.6,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,27,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0.6666666666666666,0.3333333333333333,1,1,0,0,1,0,0,0,0,1,0,0
1,29,27,6,1,0,0,0,0,2,4,0,0,0,0,1,0,2,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
1,19,17,10,1,0,0,1,0,0,0,0,0,0,0,0,0,7,3,2,1,5,4,6,0,1,0,0,0,0,6,5,1,1,1,1,6,3.3333333333333335,0.5,0.1,1,0,0,0,1,0,1,0,0,0,0,0
1,28,21,11,0,2,0,2,0,1,2,0,0,0,0,1,0,2,2,3,4,5,4,2,0,0,0,0,0,0,2,0,0,0,1,1,6,1.375,0.45454545454545453,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,18,6,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,0.5,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0
0,20,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1.5,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,17,8,0,0,0,0,0,0,1,0,0,1,0,1,1,4,0,4,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4.0,0.5,0.0,1,1,0,0,1,0,1,0,0,1,0,0
1,32,31,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,18,13,0,2,0,0,0,0,4,0,0,0,0,1,0,2,0,5,3,5,6,3,0,1,0,0,0,0,0,2,0,0,1,1,5,0.9285714285714286,0.38461538461538464,0.0,1,0,1,0,1,0,1,0,0,0,0,0
1,24,20,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,0,0,0,0,0,0,1,0,0,0,0,1,4,0.4,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,21,27,1,3,0,1,1,0,0,0,5,0,0,0,0,16,12,2,3,17,17,2,5,10,0,0,0,0,2,0,0,0,1,1,8,0.9310344827586207,0.6296296296296297,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0
1,44,17,34,1,5,0,6,0,0,0,0,1,0,0,0,0,28,15,9,7,25,29,10,1,17,0,0,0,0,10,3,1,1,1,1,8,1.2142857142857142,0.7352941176470589,0.029411764705882353,1,0,1,0,0,1,0,0,0,0,0,0
1,32,29,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,19,6,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,3,5,0,0,2,0,0,0,0,0,0,0,1,1,1,2,3.0,0.5,0.0,1,1,0,0,0,1,1,0,0,0,1,1
1,19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,2,0,0,0,0,2,2,0,0,1,1,4,2.0,0.25,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,26,18,10,0,2,0,0,0,1,1,0,0,0,0,1,0,8,1,4,1,5,4,0,0,5,0,0,0,0,0,0,1,1,1,1,4,1.1111111111111112,0.5,0.0,1,0,0,0,0,1,1,0,0,0,0,0
1,55,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,3,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2.5,0.6,0.0,1,0,0,0,1,0,0,0,0,0,0,0
1,50,44,6,0,2,0,0,0,2,3,0,0,0,0,1,0,3,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.8571428571428571,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,18,17,1,6,0,2,0,0,0,0,0,0,0,0,0,3,4,2,2,6,22,2,1,3,0,0,0,0,2,0,0,0,1,1,6,0.68,0.35294117647058826,0.058823529411764705,1,1,0,0,1,0,0,0,0,1,0,0
1,39,26,5,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,3,9,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0.35714285714285715,0.6,0.0,1,0,0,0,1,0,1,0,0,0,0,0
1,50,30,9,0,2,0,0,0,1,0,0,0,0,0,1,0,3,1,5,1,6,6,1,0,0,2,0,0,0,0,0,0,0,0,1,4,0.42857142857142855,0.6666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,41,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.26666666666666666,0.0,0.0,1,1,0,0,1,0,1,0,0,1,0,1
1,24,15,15,1,1,5,3,0,2,1,0,0,0,0,0,0,2,8,3,6,11,9,4,0,3,0,0,0,0,4,1,0,1,1,1,8,1.5,0.7333333333333333,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
1,32,22,11,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,1,1,1,3,1.0,0.09090909090909091,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,20,9,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,4,1,4,4,0,0,2,0,0,0,0,0,0,1,1,1,1,3,1.2857142857142858,0.4444444444444444,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0
1,26,23,5,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,0,3,3,0,0,1,1,0,0,0,0,0,1,1,1,1,3,1.25,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,23,15,0,1,0,0,0,1,2,0,0,0,0,1,0,9,1,9,3,11,11,1,1,0,0,0,0,0,1,1,0,0,1,1,7,1.0714285714285714,0.7333333333333333,0.0,1,1,0,0,0,1,1,0,0,0,1,1
1,34,19,29,1,4,0,2,0,0,0,0,0,0,0,0,0,18,4,9,2,13,14,4,1,13,0,0,0,0,2,2,0,0,1,1,7,1.8125,0.4482758620689655,0.034482758620689655,1,1,1,0,0,1,0,1,0,0,1,0
1,27,19,11,0,2,0,0,0,0,2,0,0,0,0,0,0,6,0,6,2,6,6,0,0,2,0,0,0,0,0,0,0,0,1,1,3,1.2222222222222223,0.5454545454545454,0.0,1,0,0,0,1,0,0,0,0,0,0,0
1,39,16,27,1,1,1,1,0,1,0,0,0,0,0,0,0,15,9,7,4,17,19,3,2,11,0,0,0,0,3,0,0,0,0,1,7,1.125,0.6296296296296297,0.037037037037037035,1,0,0,1,1,0,1,0,0,0,0,0
1,21,20,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,4,1.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,38,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,1,1,1,1,5,3.0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
1,19,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,2,0,1,0,0,0,0,2,2,1,1,1,1,4,2.0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0
1,20,20,3,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,18,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0.2,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,22,6,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,1,1,1,4,3.0,0.16666666666666666,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,51,19,58,1,2,0,8,0,6,3,0,0,0,0,1,0,39,17,16,15,33,37,10,0,19,0,0,0,0,10,2,1,1,1,1,8,1.7575757575757576,0.5689655172413793,0.017241379310344827,0,0,0,0,0,0,0,0,0,0,0,0
1,27,20,8,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,5,9,2,0,1,0,0,0,0,2,1,0,0,0,1,4,1.0,0.625,0.125,0,0,0,0,0,0,0,0,0,0,0,0
1,28,18,20,1,5,0,3,0,3,3,0,1,0,0,1,0,13,4,8,6,12,10,7,0,2,0,0,0,3,6,4,1,1,1,1,11,1.8181818181818181,0.6,0.05,1,0,1,0,1,0,0,0,0,0,0,0
0,50,39,9,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0.75,0.3333333333333333,0.0,1,0,0,0,1,0,0,0,0,0,0,0
